NLoad	Load	Time	
0.000000	1012.697754	8.641000
0.000000	1031.451416	8.664000
0.000000	1028.673096	8.688000
0.000000	1028.673096	8.711000
0.000000	1025.200195	8.734000
0.000000	1012.697754	8.757000
0.000000	1037.008057	8.780000
0.000000	1020.338135	8.803000
0.000000	1039.786377	8.825000
0.000000	1012.003174	8.849000
0.000000	1014.781494	8.872000
0.000000	1030.062256	8.896000
0.000000	1018.948975	8.921000
0.000000	1037.702637	8.944000
0.000000	1019.643555	8.967000
0.000000	1018.254395	8.990000
0.000000	1038.397217	9.014000
0.000000	1014.781494	9.037000
0.000000	1023.116455	9.061000
0.000000	1026.589355	9.084000
0.000000	1014.086914	9.108000
0.000000	1014.781494	9.131000
0.000000	1017.559814	9.154000
0.000000	1018.948975	9.177000
0.000000	1023.811035	9.199000
0.000000	1021.032715	9.223000
0.000000	1036.313477	9.246000
0.000000	1021.727295	9.270000
0.000000	1022.421875	9.293000
0.000000	1031.451416	9.317000
0.000000	1015.476074	9.340000
0.000000	1043.953857	9.363000
0.000000	1023.811035	9.386000
0.000000	1025.894775	9.408000
0.000000	1034.924316	9.432000
0.000000	1034.229736	9.455000
0.000000	1038.397217	9.479000
0.000000	1032.145996	9.502000
0.000000	1014.086914	9.526000
0.000000	1020.338135	9.549000
0.000000	1039.091797	9.572000
0.000000	1023.811035	9.595000
0.000000	1023.811035	9.617000
0.000000	1024.505615	9.641000
0.000000	1036.313477	9.664000
0.000000	1021.727295	9.688000
0.000000	1030.062256	9.711000
0.000000	1022.421875	9.734000
0.000000	1017.559814	9.757000
0.000000	1044.648437	9.780000
0.000000	1022.421875	9.803000
0.000000	1016.170654	9.825000
0.000000	1025.894775	9.849000
0.000000	1002.973633	9.872000
0.000000	1037.702637	9.896000
0.000000	1015.476074	9.919000
0.000000	1024.505615	9.942000
0.000000	1029.367676	9.965000
0.000000	1020.338135	9.988000
0.000000	1012.003174	10.011000
0.000000	1023.116455	10.033000
0.000000	1010.614014	10.057000
