Load	Ext	Time
-18.310547	-1.438883	12.999000
-17.089844	-1.437423	13.200000
-24.414062	-1.438244	13.401000
-15.869141	-1.438426	13.605000
-15.869141	-1.437605	13.801000
-34.179687	-1.437514	13.998000
-20.141602	-1.437058	14.206000
-17.700195	-1.437697	14.402000
-20.751953	-1.436693	14.600000
-17.700195	-1.436145	14.802000
-9.765625	-1.437514	15.001000
-16.479492	-1.436693	15.204000
-18.310547	-1.435050	15.403000
-23.803711	-1.437423	15.599000
-17.700195	-1.436054	15.799000
-18.310547	-1.436510	16.006001
-12.207031	-1.435050	16.204000
-20.751953	-1.434047	16.403000
-15.869141	-1.436145	16.603001
-16.479492	-1.435598	16.801001
-20.141602	-1.434868	17.000999
-20.141602	-1.433955	17.200001
-18.920898	-1.434868	17.403000
-18.310547	-1.434320	17.599001
-14.038086	-1.433134	17.799999
-15.869141	-1.433955	18.004000
-17.700195	-1.433682	18.200001
-21.362305	-1.433043	18.400999
-21.972656	-1.434777	18.600000
-11.596680	-1.432952	18.801001
-17.700195	-1.432769	19.002001
-15.869141	-1.432587	19.205000
-18.310547	-1.432404	19.405001
-18.920898	-1.432952	19.601999
-30.517578	-1.432404	19.802999
-22.583008	-1.432130	20.002001
-17.089844	-1.431400	20.198999
-21.972656	-1.431036	20.402000
-15.869141	-1.431674	20.600000
-14.648437	-1.430579	20.799000
-19.531250	-1.430944	21.002001
-16.479492	-1.431127	21.205000
-16.479492	-1.430305	21.403000
-16.479492	-1.430670	21.600000
-21.972656	-1.429849	21.802000
-15.869141	-1.429849	21.999001
-15.869141	-1.431857	22.202000
-23.803711	-1.429211	22.403000
-20.751953	-1.429028	22.605000
-21.362305	-1.428024	22.799999
-16.479492	-1.428663	22.999001
-20.751953	-1.428846	23.202999
-18.310547	-1.429484	23.400999
-17.089844	-1.428481	23.598000
-20.141602	-1.428754	23.804001
-18.920898	-1.428115	24.004000
-16.479492	-1.427021	24.205000
-8.544922	-1.427021	24.405001
-30.517578	-1.426929	24.605000
-15.869141	-1.426838	24.804001
-24.414062	-1.426564	25.004000
-17.700195	-1.426838	25.202000
-17.089844	-1.425743	25.400999
-15.869141	-1.425104	25.601000
-18.920898	-1.426564	25.802999
-20.141602	-1.425196	26.004000
-23.193359	-1.426017	26.202999
-18.310547	-1.426747	26.406000
-17.700195	-1.425287	26.601999
-16.479492	-1.424739	26.801001
-16.479492	-1.425287	27.002001
-13.427734	-1.424374	27.202999
-21.362305	-1.423644	27.402000
-20.141602	-1.424101	27.601999
-18.920898	-1.424009	27.799000
-19.531250	-1.423644	28.004000
-21.362305	-1.424466	28.202999
-15.258789	-1.423827	28.406000
-18.310547	-1.425196	28.605000
-18.920898	-1.423371	28.801001
-14.038086	-1.422732	29.002001
-9.765625	-1.422823	29.205000
-18.920898	-1.423097	29.402000
-17.700195	-1.422549	29.601000
-18.920898	-1.421911	29.801001
-21.362305	-1.421911	30.003000
-20.751953	-1.422732	30.202999
-18.920898	-1.421637	30.403000
-14.648437	-1.423188	30.603001
-17.700195	-1.420359	30.802999
-10.986328	-1.421272	31.000999
-8.544922	-1.420816	31.202000
-15.869141	-1.420451	31.403999
-19.531250	-1.420907	31.606001
-23.803711	-1.420725	31.799999
-17.700195	-1.420268	32.000999
-16.479492	-1.418352	32.206001
-20.141602	-1.420268	32.402000
-13.427734	-1.419447	32.602001
-18.920898	-1.419173	32.804001
-14.038086	-1.418900	33.000999
-14.648437	-1.418991	33.202000
-17.700195	-1.418808	33.404999
-9.765625	-1.418717	33.601002
-21.972656	-1.418078	33.803001
-16.479492	-1.417805	34.001999
-18.310547	-1.418169	34.203999
-13.427734	-1.417896	34.402000
-18.310547	-1.418352	34.603001
-16.479492	-1.417440	34.805000
