Time	Load
18.457	2.441
18.485	6.714
18.517	7.935
18.521	1.831
18.525	3.662
18.551	2.441
18.593	4.883
18.597	4.272
18.622	12.207
18.673	0.000
18.704	6.104
18.732	4.272
18.736	7.324
18.740	4.272
18.766	-4.883
18.801	2.441
18.806	8.545
18.852	0.000
18.856	13.428
18.860	0.000
18.885	9.155
18.915	-1.221
18.945	2.441
18.977	3.662
18.982	5.493
18.989	9.766
19.020	2.441
19.024	6.714
19.030	2.441
19.054	6.714
19.088	1.221
19.118	-1.831
19.150	3.662
19.182	-6.104
19.187	6.104
19.211	12.817
19.256	8.545
19.287	4.272
19.292	5.493
19.300	-3.052
19.337	6.104
19.365	8.545
19.414	11.597
19.445	4.883
19.450	4.272
19.476	6.104
19.503	12.207
19.540	6.714
19.569	6.714
19.604	4.883
19.608	5.493
19.613	5.493
19.648	7.324
19.651	4.272
19.656	8.545
19.681	4.272
19.711	3.052
19.746	4.883
19.792	3.052
19.798	4.272
19.832	4.883
19.860	6.104
19.864	-7.324
19.872	7.935
19.914	5.493
19.946	6.714
19.982	9.155
19.987	6.104
19.993	12.817
20.017	7.935
20.059	2.441
20.085	6.714
20.116	-0.610
20.151	5.493
20.195	5.493
20.200	4.272
20.226	11.597
20.264	4.272
20.299	2.441
20.304	4.883
20.311	3.662
20.350	4.883
20.398	7.324
20.430	4.883
20.434	-1.221
20.461	9.155
20.495	12.207
20.540	6.714
20.566	6.104
20.598	4.883
20.604	5.493
20.629	1.221
20.660	6.714
20.694	10.986
20.729	6.714
20.754	1.221
20.789	4.272
20.794	6.714
20.822	7.324
20.859	4.883
20.864	12.817
20.868	6.714
20.894	6.104
20.928	5.493
20.964	4.883
20.995	2.441
21.001	-0.610
21.035	10.986
21.066	6.104
21.070	4.272
21.074	6.104
21.100	-0.610
21.131	7.324
21.165	4.883
21.195	6.104
21.200	3.052
21.226	12.207
21.267	4.883
21.297	12.817
21.301	-0.610
21.310	8.545
21.352	-8.545
21.357	-4.272
21.361	1.831
21.395	3.662
21.420	6.104
21.425	4.272
21.432	4.883
21.480	9.766
21.526	6.104
21.567	5.493
21.595	3.662
21.600	-3.052
21.607	2.441
21.669	2.441
21.695	10.986
21.722	1.831
21.754	3.052
21.789	-3.052
21.794	4.883
21.819	3.662
21.824	4.883
21.851	4.883
21.878	4.272
21.909	7.324
21.941	5.493
21.977	3.052
21.982	4.883
21.990	5.493
22.041	-3.662
22.067	7.324
22.099	4.272
22.131	6.104
22.161	2.441
22.195	4.883
22.201	10.376
22.233	4.883
22.265	1.221
22.269	10.986
22.276	3.662
22.319	9.766
22.352	2.441
22.357	1.221
22.364	7.324
22.402	4.883
22.448	3.052
22.491	2.441
22.525	6.104
22.556	3.052
22.603	5.493
22.630	3.662
22.635	4.272
22.659	4.883
22.693	4.272
22.729	1.221
22.757	6.714
22.788	1.221
22.793	5.493
22.821	5.493
22.857	5.493
22.891	-3.662
22.921	-1.221
22.925	5.493
22.933	4.883
22.983	7.324
23.034	6.714
23.066	2.441
23.071	7.324
23.079	0.000
23.107	4.883
23.111	7.324
23.116	3.662
23.142	7.324
23.184	12.207
23.189	3.662
23.215	3.052
23.219	4.883
23.244	3.662
23.275	1.221
23.307	3.662
23.342	0.000
23.383	4.883
23.389	6.104
23.414	1.221
23.445	0.000
23.476	3.052
23.504	4.883
23.539	2.441
23.569	8.545
23.601	5.493
23.606	4.883
23.640	3.662
23.670	7.324
23.674	3.662
23.682	3.662
23.724	1.831
23.756	3.662
23.784	3.662
23.788	-1.831
23.814	7.935
23.849	3.662
23.880	0.610
23.911	3.662
23.944	6.104
23.980	1.831
23.984	0.610
23.992	4.272
24.023	5.493
24.028	4.883
24.032	-4.883
24.058	6.714
24.104	2.441
24.132	7.324
24.163	2.441
24.194	3.662
24.199	4.272
24.225	4.883
24.267	6.104
24.297	6.104
24.301	5.493
24.309	6.104
24.357	-0.610
24.418	11.597
24.466	3.662
24.471	3.052
24.496	4.883
24.542	9.766
24.568	3.662
24.573	0.610
24.579	4.272
24.609	8.545
24.641	4.272
24.671	2.441
24.675	7.935
24.683	6.104
24.726	2.441
24.758	10.376
24.762	1.831
24.773	9.766
24.817	7.935
24.853	12.207
24.881	2.441
24.912	4.883
24.941	1.221
24.978	4.272
24.982	6.714
24.990	1.221
25.023	5.493
25.026	0.610
25.030	1.831
25.056	7.324
25.091	3.662
25.130	2.441
25.162	2.441
25.194	4.272
25.200	5.493
25.235	4.883
25.267	7.935
25.271	5.493
25.275	0.610
25.301	3.662
25.331	11.597
25.366	-10.376
25.402	7.324
25.407	1.831
25.453	1.221
25.457	5.493
25.465	1.221
25.508	3.662
25.535	3.662
25.540	3.052
25.566	4.272
25.602	3.052
25.607	1.831
25.611	-1.831
25.636	5.493
25.682	1.831
25.713	2.441
25.748	4.272
25.776	4.272
25.781	7.935
25.789	9.766
25.821	4.272
25.825	2.441
25.851	3.662
25.878	6.104
25.911	0.610
25.944	3.662
25.980	5.493
25.984	4.272
25.990	3.052
26.035	12.817
26.066	5.493
26.070	11.597
26.075	-8.545
26.101	4.272
26.129	4.272
26.164	3.052
26.194	6.104
26.199	3.052
26.225	2.441
26.267	2.441
26.297	2.441
26.301	6.714
26.309	1.831
26.352	-7.324
26.357	11.597
26.361	1.831
26.396	9.766
26.400	4.272
26.404	3.662
26.433	1.221
26.478	1.831
26.507	3.052
26.536	5.493
26.571	6.104
26.607	3.662
26.611	1.221
26.619	1.831
26.661	3.662
26.665	-0.610
26.674	4.883
26.705	5.493
26.734	1.221
26.738	0.000
26.743	7.935
26.769	3.052
26.774	6.714
26.786	3.052
26.815	7.935
26.844	4.883
26.848	3.052
26.856	4.883
26.898	2.441
26.923	4.272
26.952	-6.714
26.984	-6.714
26.989	3.662
26.994	10.986
27.039	7.324
27.082	4.272
27.107	-1.831
27.111	2.441
27.116	4.272
27.143	4.272
27.179	6.714
27.183	3.052
27.208	3.052
27.242	4.272
27.277	3.052
27.305	1.221
27.337	7.324
27.369	1.221
27.401	2.441
27.407	2.441
27.415	-6.714
27.460	5.493
27.484	6.714
27.488	5.493
27.493	12.817
27.520	5.493
27.555	3.662
27.587	5.493
27.592	3.052
27.619	3.052
27.663	3.662
27.668	4.272
27.676	3.052
27.708	4.272
27.731	3.052
27.734	6.104
27.739	4.883
27.763	3.052
27.811	3.662
27.815	0.610
27.824	3.052
